bug_id,category
218415,nobug
428981,bug_unknown_regression
518272,regression
526299,regression
561351,regression
603903,nobug
638430,regression
641030,regression
645563,nobug
648417,nobug
674718,nobug
678392,nobug
699844,nobug
739219,nobug
759342,regression
764076,regression
786819,nobug
788319,nobug
806116,regression
807762,regression
811542,nobug
821781,regression
827343,nobug
829802,nobug
833098,nobug
834541,nobug
857456,nobug
857458,nobug
860493,nobug
866102,nobug
885732,nobug
887889,nobug
938119,regression
939242,regression
951965,regression
953012,bug_unknown_regression
968056,bug_unknown_regression
985001,regression
990804,nobug
1023761,regression
1037762,bug_no_regression
1048455,regression
1054972,regression
1062876,regression
1065909,regression
1070955,regression
1071461,nobug
1073805,regression
1081877,bug_unknown_regression
1089326,bug_unknown_regression
1089364,regression
1093212,nobug
1098400,regression
1101478,nobug
1103188,nobug
1118235,regression
1123938,nobug
1128240,nobug
1128765,nobug
1135271,regression
1135640,nobug
1147497,regression
1147820,nobug
1153123,regression
1165763,regression
1167694,regression
1176019,nobug
1179051,nobug
1181896,nobug
1185489,regression
1191936,nobug
1198168,regression
1200341,nobug
1201115,regression
1203438,regression
1209518,regression
1213517,nobug
1217152,bug_unknown_regression
1221348,regression
1221539,nobug
1224175,regression
1224766,regression
1225003,regression
1226904,regression
1231886,regression
1234422,regression
1236112,regression
1237654,regression
1239708,nobug
1240547,nobug
1241535,nobug
1243108,regression
1246045,regression
1246236,nobug
1246615,nobug
1247628,nobug
1248897,nobug
1249000,bug_no_regression
1249225,nobug
1249934,regression
1250461,nobug
1253386,regression
1254812,regression
1257531,nobug
1257950,bug_no_regression
1265824,nobug
1266345,bug_unknown_regression
1271553,nobug
1272160,regression
1274461,regression
1279218,nobug
1281664,regression
1283299,nobug
1285960,regression
1286798,nobug
1288269,nobug
1288692,bug_unknown_regression
1289662,nobug
1294490,nobug
1297485,regression
1297630,nobug
1298240,nobug
1298362,regression
1300029,regression
1302270,nobug
1305142,nobug
1306425,bug_no_regression
1308940,nobug
1311541,nobug
1314057,nobug
1317701,nobug
1319493,bug_unknown_regression
1320616,regression
1322018,regression
1322426,nobug
1323557,nobug
1331674,nobug
1332040,regression
1333965,regression
1339521,nobug
1340126,regression
1340487,nobug
1340656,bug_unknown_regression
1340962,regression
1341107,bug_unknown_regression
1341525,nobug
1344749,nobug
1345938,bug_unknown_regression
1346454,regression
1348519,nobug
1349332,nobug
1349917,nobug
1350472,nobug
1351194,bug_unknown_regression
1351308,regression
1351833,regression
1352586,regression
1352791,regression
1353013,nobug
1353787,nobug
1354245,regression
1355143,regression
1355202,nobug
1355656,nobug
1356532,nobug
1356712,bug_unknown_regression
1357160,nobug
