bug_id,label
1488307,t
1488310,d
1488313,d
1488314,d
1488316,d
1488320,t
1488325,d
1488331,d
1488336,t
1488338,t
1488339,d
1488361,d
1488363,t
1488367,t
1488369,t
1488370,t
1488371,t
1488372,t
1488373,t
1488374,t
1488375,t
1488376,t
1488377,t
1488378,t
1488379,t
1488380,t
1488381,t
1488382,t
1488384,d
1488398,d
1488399,d
1488404,t
1488462,d
1488506,e
1488507,e
1488508,d
1488509,d
1488510,e
1488513,e
1488516,e
1488517,e
1488524,e
1488525,d
1488536,d
1488546,t
1488547,t
1488554,t
1488560,d
1488562,e
1488566,d
1488570,d
1488578,t
1488580,d
1488582,t
1488587,t
1488596,t
1488606,d
1488613,t
1488615,t
1488616,e
1488617,e
1488618,d
1488625,d
1488627,d
1488631,t
1488632,t
1488635,t
1488636,t
1488654,d
1488660,d
1488662,d
1488667,t
1488669,d
1488679,d
1488683,d
1488687,t
1488691,d
1488694,d
1488699,t
1488706,d
1488708,d
1488715,d
1488719,d
1488720,d
1488721,d
1488727,e
1488730,e
1488732,e
1488733,d
1488736,e
1488738,t
1488749,e
1488755,t
1488758,t
1488764,d
1488766,t
1488767,t
1488769,d
1488771,d
1488772,t
1488776,t
1488778,t
1488779,e
1488785,d
1488788,t
1488791,d
1488793,t
1488798,d
1488800,t
1488806,t
1488809,d
1488811,t
1488813,t
1488814,d
1488822,t
1488825,t
1488831,d
1488835,d
1488841,t
1488846,d
1488848,d
1488853,d
1488857,d
1488860,d
1488864,e
1488867,e
1488872,e
1488874,t
1488879,d
1488881,t
1488883,d
1488885,d
1488891,t
1488899,d
1488904,t
1488906,e
1488908,d
1488914,e
1488915,t
1488916,d
1488917,t
1488918,e
1488921,d
1488923,t
1488926,d
1488927,d
1488930,t
1488932,d
1488933,t
1488934,d
1488935,t
1488937,d
1489085,d
1489213,e
1489214,d
1489250,d
1489257,d
1489315,d
1489383,d
1489520,d
1489530,d
1489531,t
1489532,d
1489536,d
1489539,d
1489541,d
1489543,d
1489544,d
1489545,d
1489552,t
1489553,d
1489554,d
1489557,d
1489567,d
1489569,d
1489574,t
1489579,d
1489581,d
1489590,t
1489594,d
1489596,d
1489616,d
1489618,d
1489619,d
1489629,e
1489631,d
1489634,d
1489635,d
1489637,e
1489638,t
1489648,d
1489650,d
1489653,e
1489660,d
1489754,d
1489814,e
1489853,d
1489876,d
1489904,d
1489925,e
1489989,t
1489990,d
1489995,t
1490001,d
1490006,d
1490027,d
1490128,t
1490145,t
1490264,d
1490352,d
1490491,t
1490508,d
1490562,d
1490729,t
1490826,d
1490848,d
1490856,d
1490927,d
1490966,d
1491043,d
1491208,d
1491274,t
1491297,d
1491372,e
1491560,t
1491576,t
1491673,d
1491724,d
1491788,t
1491997,d
1491999,d
1492010,t
1492369,d
1492431,d
1492471,d
1492550,d
1492563,t
1492598,d
1492860,d
1493041,d
1493131,d
1493148,d
1493185,d
1493193,t
1493249,e
1493267,d
1493385,e
1493428,d
1493439,t
1493444,t
1493445,t
1493446,t
1493554,d
1493606,t
1493609,d
1493620,d
1493636,e
1493661,d
1493680,d
1493682,d
1493949,d
1493973,d
1494353,d
1494471,d
1494486,t
1494575,d
1494587,d
1494729,d
1494744,d
1494900,d
1494957,d
1494972,d
1494998,d
1495212,d
1495295,d
1495369,d
1495452,d
1495454,d
1495596,d
1495612,t
1495723,d
1495805,t
1495855,t
1495856,e
1495861,t
1495890,t
1495907,d
1495985,d
1496022,d
1496044,d
1496059,t
1496075,e
1496078,d
1496246,t
1496322,d
1496380,d
1496492,d
1496587,d
1496671,t
1496731,d
1496861,d
1497220,d
1497326,d
1497509,d
1497521,d
