bug_id,label
390374,"task"
1544979,"task"
1541503,"enhancement"
1517156,"defect"
1532109,"enhancement"
1532182,"enhancement"
1545079,"task"
1511530,"task"
1524550,"task"
1545731,"defect"
1544945,"task"
1543308,"task"
1541038,"enhancement"
1543937,"enhancement"
1539482,"enhancement"
1541515,"enhancement"
1544468,"enhancement"
1485505,"defect"
1529760,"enhancement"
1539263,"defect"
1540790,"defect"
1541609,"enhancement"
1545106,"enhancement"
1523303,"defect"
1544858,"defect"
1544816,"task"
1527610,"defect"
1541859,"defect"
18508,"defect"
1541130,"task"
1536742,"task"
1536935,"task"
1540897,"defect"
1522061,"enhancement"
1329166,"enhancement"
1543911,"enhancement"
1543916,"task"
1545469,"enhancement"
1108485,"enhancement"
1458122,"defect"
1543641,"task"
1543642,"task"
1543675,"task"
1543677,"enhancement"
1518874,"enhancement"
1540939,"task"
1541359,"task"
1543109,"enhancement"
1543116,"enhancement"
1543998,"enhancement"
1542904,"task"
1543859,"task"
1284651,"task"
1534749,"defect"
1541852,"enhancement"
1543053,"task"
1517157,"defect"
1169263,"enhancement"
1483077,"task"
1543043,"task"
1500887,"task"
1513836,"enhancement"
1545449,"task"
1208858,"enhancement"
1500464,"enhancement"
1541799,"task"
1539590,"defect"
1539598,"defect"
1535102,"enhancement"
1544393,"enhancement"
1543946,"enhancement"
1546303,"enhancement"
1528118,"task"
1542164,"task"
1543452,"task"
1483191,"task"
1518032,"task"
1518580,"task"
1518847,"task"
1519516,"task"
1520414,"task"
1520813,"task"
1521429,"task"
1521533,"task"
1522959,"task"
1522970,"task"
1524357,"task"
1525153,"task"
1525405,"task"
1525880,"task"
1527603,"task"
1528308,"task"
1529330,"task"
1529731,"task"
1529924,"task"
1529926,"task"
1529934,"task"
1530194,"task"
1530640,"task"
1530932,"task"
1532075,"task"
1532269,"task"
1533780,"task"
1534769,"task"
1534773,"task"
1534781,"task"
1534807,"task"
1534817,"task"
1534828,"task"
1534835,"task"
1534940,"task"
1535055,"task"
1535088,"task"
1535280,"task"
1535345,"task"
1535402,"task"
1535421,"task"
1535601,"task"
1535655,"task"
1535959,"task"
1536042,"task"
1536052,"task"
1536513,"task"
1537895,"task"
1540868,"task"
1541010,"task"
1541039,"task"
1541405,"task"
1541662,"task"
1542208,"task"
1543118,"task"
1543181,"task"
1543255,"task"
1543462,"task"
1543848,"task"
1545213,"task"
1533277,"task"
1545787,"enhancement"
1538770,"defect"
1288269,"enhancement"
1545707,"defect"
1539406,"enhancement"
1542035,"enhancement"
1542877,"task"
1542843,"task"
1546099,"task"
1544051,"task"
1544322,"task"
1541516,"task"
1543834,"task"
1544924,"task"
1542620,"task"
1544900,"task"
1470964,"defect"
1522296,"task"
1541271,"task"
1286387,"task"
1543246,"enhancement"
1515430,"task"
1530014,"task"
1272409,"enhancement"
