bug_id,label_01,label_02,label_03,general_label_01,general_label_02, general_label_03
1617523,Crash,GUI-related issue,,Program Anomaly issue,GUI-related issue,
1619469,Test code,,,Development issue,,
1601717,Crash,Network Usage issue,,Program Anomaly issue,Network Usage issue,
1622820,GUI-related issue,,,GUI-related issue,,
1618555,Wrong Functionality,,,Program Anomaly issue,,
1613900,Program Anomaly issue,Network Usage issue,,Program Anomaly issue,Network Usage issue,
1622211,Wrong Functionality,,,Program Anomaly issue,,
1619752,Incompatibility,,,API issue,,
1609898,Program Anomaly issue,,,Program Anomaly issue,,
1623837,Wrong Functionality,,,Program Anomaly issue,,
1606082,Test code,,,Development issue,,
1613052,Program Anomaly issue,GUI-related issue,,Program Anomaly issue,GUI-related issue,
1606108,Wrong Functionality,,,Program Anomaly issue,,
1611472,Wrong Functionality,,,Program Anomaly issue,,
1625264,GUI-related issue,Incorrect Rendering,,GUI-related issue,Program Anomaly issue,
1614329,Program Anomaly issue,,,Program Anomaly issue,,
1604216,Test code,,,Development issue,,
1603280,Crash,,,Program Anomaly issue,,
1622016,Compile,,,Development issue,,
1627108,Wrong Functionality,,,Program Anomaly issue,,
1604375,Program Anomaly issue,,,Program Anomaly issue,,
1616262,Crash,,,Program Anomaly issue,,
1620110,Wrong Functionality,Security issue,,Program Anomaly issue,Security issue,
1614657,Wrong Functionality,,,Program Anomaly issue,,
1629162,Wrong Functionality,Add-on or plug-in incompatibility,,Program Anomaly issue,API issue,
1609257,Add-on or plug-in incompatibility,,,API issue,,
1626426,Wrong Functionality,Incorrect Rendering,,Program Anomaly issue,Program Anomaly issue,
1622221,GUI-related issue,,,GUI-related issue,,
1620364,Incompatibility,Program Anomaly issue,,API issue,Program Anomaly issue,
1624724,Crash,,,Program Anomaly issue,,
1611876,Wrong Functionality,Test code,,Program Anomaly issue,Development issue,
1602686,Test code,Network Usage issue,,Development issue,Network Usage issue,
1626225,Wrong Functionality,,,Program Anomaly issue,,
1600470,Incorrect Rendering,,,Program Anomaly issue,,
1604003,Wrong Functionality,,,Program Anomaly issue,,
1618312,Crash,,,Program Anomaly issue,,
1611601,GUI-related issue,Incorrect Rendering,,GUI-related issue,Program Anomaly issue,
1600029,Program Anomaly issue,,,Program Anomaly issue,,
1629526,Crash,API issue,,Program Anomaly issue,API issue,
1615401,Crash,Security issue,,Program Anomaly issue,Security issue,
1611132,Test code,,,Development issue,,
1617678,Program Anomaly issue,,,Program Anomaly issue,,
1611848,Crash,GUI-related issue,,Program Anomaly issue,GUI-related issue,
1624747,Crash,,,Program Anomaly issue,,
1623222,Wrong Functionality,GUI-related issue,,Program Anomaly issue,GUI-related issue,
1618764,Test code,,,Development issue,,
1613976,Test code,,,Development issue,,
1622732,Crash,,,Program Anomaly issue,,
1609913,Incorrect Rendering,,,Program Anomaly issue,,
1624322,Wrong Functionality,,,Program Anomaly issue,,
1613093,Wrong Functionality,,,Program Anomaly issue,,
1606157,Test code,,,Development issue,,
1622490,Hang,Network Usage issue,,Program Anomaly issue,Network Usage issue,
1626143,Test code,Wrong Functionality,,Development issue,Program Anomaly issue,
1630031,Security issue,,,Program Anomaly issue,Security issue,
1606613,Network Usage issue,,,Program Anomaly issue,Network Usage issue,
1614522,Program Anomaly issue,API issue,,Program Anomaly issue,API issue,
1603289,Wrong Functionality,,,Program Anomaly issue,,
