bug_id,comment_num,has_str
641030,0,y
1041822,0,n
1041822,1,n
1041822,2,n
1041822,3,n
1041822,4,n
1041822,5,n
1041822,6,n
1041830,0,n
1041830,1,n
1041830,2,n
1041830,3,n
1041830,4,n
1041830,5,n
1041830,6,n
1041830,7,n
1041830,8,n
1041836,0,n
1041836,1,n
1041836,2,n
1041836,3,n
1041836,4,n
1041836,5,n
1041836,6,n
1041836,7,n
1041836,8,n
1044586,0,y
1046143,0,y
1046255,0,y
1049215,0,n
1051830,0,y
1052947,0,y
1055310,14,n
1055973,0,y
1058713,0,y
1060929,0,y
1067153,0,y
1068439,0,n
1069724,0,y
1070722,0,y
1070988,0,y
1071686,0,y
1072193,0,y
1072954,0,y
1072991,0,y
1073991,0,y
1077369,0,y
1078743,0,y
1080971,0,y
1081514,0,y
1081677,0,y
1082249,0,y
1083996,0,y
1091109,0,y
1092626,0,y
1100966,42,n
1103635,0,y
1105066,0,y
1107702,0,n
1109155,0,y
1111337,0,y
1113238,0,y
1113834,0,y
1114774,1,n
1117984,0,y
1120065,0,y
1121706,0,y
1124221,0,y
1131463,0,n
1131685,0,y
1132918,0,y
1133356,0,y
1134531,0,y
1137234,0,y
1137906,0,y
1140616,0,y
1143644,0,y
1149608,0,n
1152469,0,y
1156636,0,y
1159259,0,y
1162372,0,y
1166133,0,y
1167105,0,y
1168081,0,y
1173548,0,y
1173792,0,y
1175941,0,y
1176018,0,y
1176551,0,y
1177619,0,y
1185886,0,y
1185927,0,y
1187232,0,y
1187404,0,y
1189715,0,y
1190112,0,y
1191539,0,y
1192539,0,y
1192720,0,y
1193695,0,y
1197569,0,y
1198723,0,y
1199296,0,y
1200602,0,y
1204483,0,y
1204809,0,y
1205476,0,n
1205833,0,y
1206545,0,y
1207536,0,y
1207546,0,y
1207821,0,y
1213688,19,n
1214261,0,y
1215948,0,y
1216366,0,y
1221030,0,y
1224936,0,y
1225125,0,y
1225882,0,y
1229742,0,y
1231758,0,y
1232087,0,n
1232328,0,y
1232346,0,y
1233429,0,y
1233625,0,y
1238427,0,y
1240561,0,y
1243034,0,y
1243413,0,y
1243657,0,y
1243657,14,n
1244597,25,n
1246606,0,y
1248948,0,y
1252974,0,y
1253399,0,y
1257063,0,n
1260022,0,y
1261228,0,y
1262125,0,y
1266372,0,y
1268069,0,y
1268141,0,y
1271173,0,y
1273024,0,y
1273882,0,y
1274362,0,y
1275880,0,y
1276717,0,n
1277295,0,y
1278221,0,y
1278581,0,y
1279036,0,y
1279744,0,n
1279928,0,y
1283721,0,y
1286459,0,n
1287066,0,y
1291270,8,n
1292337,0,y
1292904,0,y
1294602,0,y
1295193,0,y
1295354,0,y
1297549,0,y
1298205,0,n
1299324,0,y
1300805,0,y
1302414,0,y
1303727,0,y
1309219,0,y
1309413,0,y
1313272,0,n
1314128,0,y
1314491,0,y
1315608,0,y
1319911,0,y
1320502,0,y
1320565,0,y
1321069,0,y
1322274,17,n
1322441,0,y
1325955,0,y
1326163,0,y
1328023,0,y
1329386,0,y
1329631,0,y
1330609,0,y
1330836,0,y
1334677,0,n
1338005,0,y
1339497,0,y
1340127,0,y
1341521,0,y
1348148,0,n
1348701,0,y
1349552,19,n
1351102,0,y
1352004,0,y
1352108,0,y
1353039,0,y
1353041,0,y
1356883,0,y
1356921,0,y
1357098,0,y
1358964,0,y
1362764,0,n
1362984,8,n
1363406,0,y
1364727,0,y
1365133,213,n
1366824,0,y
1367688,0,y
1368464,0,y
1368852,0,y
1369246,0,y
1372043,0,y
1372448,0,y
1373528,0,y
1373823,0,y
1373937,0,n
1374584,0,y
1374653,0,y
1376406,0,y
1377597,0,y
1379624,0,n
1380323,0,y
1381682,0,y
1382719,22,n
1383363,0,y
1385440,0,y
1385718,0,y
1385718,1,n
1385718,2,n
1385718,3,n
1386483,0,y
1387476,0,y
1388043,0,y
1388394,0,y
1389377,0,y
1390863,0,y
